iteration,chain,log_λ_xscale_base,λ_xshift_base,log_λ_yscale_base,log_λ_yshift_base,log_μ_base,log_δ_base,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,1.509976636213765,-0.05614061948072754,-1.1577840082885744,-0.9408390934343508,-1.520138200383216,-4.505777187346,-397.3651647140656,15.0,1.0,0.8270856581266018,-397.3651647140656,398.92587914914253,0.08639687872801005,0.4028076812844006,4.0,0.0,0.13139410174985838,0.13139410174985838
1002,1,0.7621556659266984,-0.1338026286246731,-1.1507518535770227,-2.0236015093041644,-2.3482390279406182,-4.247691205817005,-398.800785779682,31.0,1.0,0.875869032320249,-398.800785779682,400.833730879808,0.08892484561846459,0.3813670399411535,5.0,0.0,0.13139410174985838,0.13139410174985838
1003,1,-0.46438714948048454,-0.7995970439781549,-0.6400873878279575,-1.293615027458039,-0.8003833751529605,-3.904163485746581,-399.2459543694828,31.0,1.0,0.9867096028303961,-399.2459543694828,402.3061570366367,0.0631735470188346,-0.12290217283339189,5.0,0.0,0.13139410174985838,0.13139410174985838
1004,1,0.41416671165399926,-0.8014384374640701,-1.3315087223623292,-0.24681371304701655,-0.5293286228350405,-4.168784744175904,-399.8267505045318,31.0,1.0,0.5731600825201242,-399.8267505045318,405.0744421448484,0.8233623963964192,2.739684506029448,5.0,0.0,0.13139410174985838,0.13139410174985838
1005,1,0.5542189987405401,-0.25563132076832124,-1.6100368165081904,-0.5642518868168896,-1.9980169819190354,-4.2597605805628875,-396.9817316192474,31.0,1.0,1.0,-396.9817316192474,401.11622721133836,-0.615028697043499,-0.7531735309609076,4.0,0.0,0.13139410174985838,0.13139410174985838
1006,1,-0.06365638597412424,-0.0742329650412322,-1.3692166369590193,-0.8151262390447643,-2.493941555791796,-4.3832256800621625,-398.900054919746,15.0,1.0,0.9895511928999767,-398.900054919746,399.8979740063773,-0.0006200027666523056,0.030882778865873206,4.0,0.0,0.13139410174985838,0.13139410174985838
1007,1,0.4338778918185732,-0.5477139664615542,-1.30713207097054,-0.4801406146505281,-1.0090175295412467,-3.775700946214538,-397.67666758493414,31.0,1.0,0.8870376085627992,-397.67666758493414,402.4497195609795,-0.12735112640064017,0.770847265567852,5.0,0.0,0.13139410174985838,0.13139410174985838
1008,1,1.014124915733969,-0.09362917101568438,-1.492058451553454,-0.2668711340729371,-1.0787773346916645,-3.7039417570018704,-397.27157929195397,31.0,1.0,0.7312426152633874,-397.27157929195397,401.30938690018314,-0.5000152353450744,2.1973577372340856,5.0,0.0,0.13139410174985838,0.13139410174985838
1009,1,0.666432442657019,-0.01469961373437137,-1.3211807469327468,-0.725023725954412,-1.8682076356864776,-4.696987811043105,-397.95948918634303,31.0,1.0,0.9513991630297695,-397.95948918634303,398.7668253828331,0.029906187031656373,0.12634502259288638,5.0,0.0,0.13139410174985838,0.13139410174985838
1010,1,0.874029520697776,-0.17857728029701297,-1.4713132825977797,-0.4183271338125,-1.3013632438571556,-3.6754717341778838,-397.27051009402595,31.0,1.0,0.9882257283615609,-397.27051009402595,399.1123274692284,0.024312015021052957,0.061081485584111306,5.0,0.0,0.13139410174985838,0.13139410174985838
1011,1,0.7341926860471663,-0.22064849278769086,-1.2112059114516087,-1.8627244413756028,-2.0803858712414307,-4.534827417057409,-400.95644207943997,63.0,1.0,0.7711242538983214,-400.95644207943997,403.32307130804236,0.4938744437064315,1.4178236068399883,5.0,0.0,0.13139410174985838,0.13139410174985838
1012,1,1.3918067335475366,-0.5172812552688687,-1.5461536502942805,-0.3146823620731163,-0.8602695087251269,-3.8311904337678224,-401.50267847531575,31.0,1.0,0.8948544933173984,-401.50267847531575,403.84291390271983,0.23109228857396147,2.0629946493050397,5.0,0.0,0.13139410174985838,0.13139410174985838
1013,1,-0.1364295932723486,-0.2713515859671169,-1.0513025793079125,-0.5517243261224836,-1.340619631720641,-3.933424908118618,-399.7715110456685,31.0,1.0,1.0,-399.7715110456685,402.5451826066377,-0.3807740047656125,-1.6315345557032401,5.0,0.0,0.13139410174985838,0.13139410174985838
1014,1,2.533954384379992,-0.04254830841801228,-1.378045848166064,-0.968372072664835,-2.15417235807707,-4.281018280027362,-399.9782298992833,31.0,1.0,0.9977763535348894,-399.9782298992833,402.2511614133993,-0.3173949301522043,-0.9358394057862256,5.0,0.0,0.13139410174985838,0.13139410174985838
1015,1,2.4348905909162397,0.043943556739195706,-1.4168719407721087,-0.9743445151940052,-2.2214052275603065,-4.26925884743033,-398.6553986899979,15.0,1.0,0.9795247103157568,-398.6553986899979,401.6137881568101,-0.34111317030897226,-0.48486367857947243,4.0,0.0,0.13139410174985838,0.13139410174985838
1016,1,1.052399147540228,0.12308401423717609,-1.4597885845283303,-0.8190780714085324,-2.6981693159907523,-4.19187450061316,-398.766232355435,31.0,1.0,0.8887024899082224,-398.766232355435,401.04834517679194,0.0944990904905012,0.27226402737409217,5.0,0.0,0.13139410174985838,0.13139410174985838
1017,1,0.9755072414171586,-0.34533937837815265,-1.375773313155171,-1.4500042678959089,-2.3984503689992804,-4.000019432143567,-398.64431660322185,15.0,1.0,0.9789653040635587,-398.64431660322185,401.56774133277537,0.022303365323523394,0.05853789896309536,4.0,0.0,0.13139410174985838,0.13139410174985838
1018,1,1.4260719620085098,-0.5762092600969422,-1.5411262691777181,-0.41684811416457457,-1.220607952066166,-4.235841469309688,-398.85381598061076,31.0,1.0,0.9885250727824201,-398.85381598061076,402.08605346834867,-0.04412880128506913,-0.1592700576100583,5.0,0.0,0.13139410174985838,0.13139410174985838
1019,1,1.0131028972477263,0.05190374707892205,-1.7818756203816166,0.08497617095879967,-0.6353632429589511,-4.313502265432778,-398.2884401734683,31.0,1.0,0.3748645993786453,-398.2884401734683,401.13993027190816,-1.2816151266027873,184.9962367743767,5.0,0.0,0.13139410174985838,0.13139410174985838
1020,1,0.8583032319596186,0.08882165151825872,-1.7848941475006017,0.2074342301974777,-0.5652209703879233,-4.268296461899569,-400.2004542684157,3.0,1.0,0.07952033088788844,-400.2004542684157,403.6492154586299,1.433130275404153,250.88762536897826,1.0,0.0,0.13139410174985838,0.13139410174985838
1021,1,0.8583032319596186,0.08882165151825872,-1.7848941475006017,0.2074342301974777,-0.5652209703879233,-4.268296461899569,-400.2004542684157,7.0,1.0,0.017323598539163623,-400.2004542684157,402.3912085318558,0.0,214.69352084441937,3.0,0.0,0.13139410174985838,0.13139410174985838
1022,1,0.8583032319596186,0.08882165151825872,-1.7848941475006017,0.2074342301974777,-0.5652209703879233,-4.268296461899569,-400.2004542684157,7.0,1.0,0.003989444271657215,-400.2004542684157,401.97961222476647,0.0,359.9932860609947,3.0,0.0,0.13139410174985838,0.13139410174985838
1023,1,0.9205047136234169,0.077440057935852,-1.7210724686353833,0.08617459652627424,-0.45689457994448446,-4.20379551877554,-401.7683973946979,7.0,1.0,0.009932379009009795,-401.7683973946979,405.8919149167058,2.707249497425039,137.34136319735825,3.0,0.0,0.13139410174985838,0.13139410174985838
1024,1,0.9548134874943075,0.07080555808844911,-1.7146881989936644,0.18452068400172422,-0.5389664181759619,-4.244678844878113,-399.7018899759085,7.0,1.0,0.1428571428571519,-399.7018899759085,400.24790888495744,-2.824358487504014,147.51959384665378,3.0,0.0,0.13139410174985838,0.13139410174985838
1025,1,0.7117382849712433,0.0314868641183946,-1.8334058423655666,0.19693123682465796,-0.5110757715058636,-4.258357542635612,-399.0254602371605,7.0,1.0,0.14298351129867043,-399.0254602371605,406.2768561990125,-1.3792651354008285,448.70180981564874,2.0,0.0,0.13139410174985838,0.13139410174985838
1026,1,0.7117382849712433,0.0314868641183946,-1.8334058423655666,0.19693123682465796,-0.5110757715058636,-4.258357542635612,-399.0254602371605,15.0,1.0,0.03750615582357917,-399.0254602371605,401.38181189311814,0.0,373.41447986272914,4.0,0.0,0.13139410174985838,0.13139410174985838
1027,1,0.7117382849712433,0.0314868641183946,-1.8334058423655666,0.19693123682465796,-0.5110757715058636,-4.258357542635612,-399.0254602371605,7.0,1.0,7.887340636997394e-8,-399.0254602371605,404.48225165417006,0.0,438.28887972972626,3.0,0.0,0.13139410174985838,0.13139410174985838
1028,1,0.688570862300794,0.007128679589027239,-1.8820055759261687,0.19784197177188614,-0.49242112736510435,-4.325312220242103,-399.0182850430624,15.0,1.0,0.1239808044742054,-399.0182850430624,400.98618941994687,-0.18976723014503705,397.95613131725844,4.0,0.0,0.13139410174985838,0.13139410174985838
1029,1,0.6784044737400285,-0.014569915627749879,-1.9122816287521718,0.17128556207998377,-0.5400017787295202,-4.33745525079398,-398.9459807635901,31.0,1.0,0.12032472419072711,-398.9459807635901,399.6168133569246,0.06693699492484484,242.5972005657942,4.0,0.0,0.13139410174985838,0.13139410174985838
1030,1,0.6784044737400285,-0.014569915627749879,-1.9122816287521718,0.17128556207998377,-0.5400017787295202,-4.33745525079398,-398.9459807635901,3.0,1.0,9.995496639645346e-6,-398.9459807635901,400.9276888763476,0.0,237.77272343570633,2.0,0.0,0.13139410174985838,0.13139410174985838
1031,1,0.5668262247008304,0.07022669089099463,-1.953052813967932,0.13537440256052197,-0.6610742817061984,-4.34998733471216,-399.6836210846518,15.0,1.0,0.03704163695604926,-399.6836210846518,403.62051161442594,0.6515714829457124,289.58776934892927,4.0,0.0,0.13139410174985838,0.13139410174985838
1032,1,0.5201633583153995,0.07257943034340078,-2.0107098505546968,0.19910409585456734,-0.7032803706050454,-4.312490266964116,-399.77113251920713,15.0,1.0,0.06793735538367032,-399.77113251920713,401.2097892620131,-0.2597609039614781,126.29528731854526,4.0,0.0,0.13139410174985838,0.13139410174985838
1033,1,0.5271397370527888,0.07713636688186742,-1.9686504087011882,0.17082650785849823,-0.7158960662277416,-4.223772645043763,-399.3252722311727,31.0,1.0,0.035888133325316984,-399.3252722311727,402.30327098566875,-0.40075184119302776,278.7541246789243,5.0,0.0,0.13139410174985838,0.13139410174985838
1034,1,0.5271397370527888,0.07713636688186742,-1.9686504087011882,0.17082650785849823,-0.7158960662277416,-4.223772645043763,-399.3252722311727,7.0,1.0,3.0817769116445646e-7,-399.3252722311727,404.0298110193387,0.0,550.6564371901765,3.0,0.0,0.13139410174985838,0.13139410174985838
1035,1,0.5707621099203353,0.06796571262541193,-1.986465465330874,0.1769144227212786,-0.6893034466463255,-4.245905459096781,-399.27113054092786,15.0,1.0,0.10477675691768744,-399.27113054092786,399.7372341635999,-0.04683794858607371,100.87936934879389,4.0,0.0,0.13139410174985838,0.13139410174985838
1036,1,0.5707621099203353,0.06796571262541193,-1.986465465330874,0.1769144227212786,-0.6893034466463255,-4.245905459096781,-399.27113054092786,15.0,1.0,0.047567834864948574,-399.27113054092786,402.1266679506081,0.0,160.61318491937863,4.0,0.0,0.13139410174985838,0.13139410174985838
1037,1,0.799899251072116,0.09663426025380756,-1.9942415191618712,0.12160389938764579,-0.8058378007198446,-4.227738845937845,-398.8258956883308,7.0,1.0,0.2282598754307417,-398.8258956883308,403.07042747859936,-0.043618456509420866,981.1741957581323,2.0,0.0,0.13139410174985838,0.13139410174985838
1038,1,0.799899251072116,0.09663426025380756,-1.9942415191618712,0.12160389938764579,-0.8058378007198446,-4.227738845937845,-398.8258956883308,15.0,1.0,0.07120691909097156,-398.8258956883308,401.1408858567237,0.0,134.5761669858333,4.0,0.0,0.13139410174985838,0.13139410174985838
